dataset,method,k,macro_f1,baseline_macro_f1,threshold_90_percent
RT-IoT2022,LIME,48,0.6523598845257729,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,49,0.6580459282353607,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,50,0.6911160007210855,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,51,0.6911160007210855,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,52,0.6747048691516566,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,53,0.6723540747875189,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,54,0.6952572733843566,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,55,0.695305200230946,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,56,0.6956502255504099,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,57,0.6963741928635553,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,58,0.7391705934038457,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,59,0.7402029736132899,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,60,0.7465302982878034,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,61,0.7488362879960636,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,62,0.7781940088814241,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,63,0.7781940088814241,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,64,0.8251267420539129,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,65,0.8251267420539129,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,66,0.8450905885927988,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,67,0.8450905885927988,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,68,0.8452017860067892,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,69,0.8452017860067892,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,70,0.8452017860067892,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,71,0.8767059311732394,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,72,0.8767059311732394,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,73,0.8767059311732394,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,74,0.8783288606047588,0.9806186572560694,0.8825567915304625
RT-IoT2022,LIME,75,0.8919985392509041,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,0,0.00034447821681864236,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,1,0.00034447821681864236,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,2,0.13664738978807436,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,3,0.15671171677817153,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,4,0.2426321729615847,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,5,0.23458767889800816,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,6,0.23055258127054135,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,7,0.35138122639414987,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,8,0.39002666744428865,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,9,0.36686313545813487,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,10,0.39772512140394506,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,11,0.392256355031233,0.9806186572560694,0.8825567915304625
RT-IoT2022,GWO,12,0.39219188740754957,0.9806186572560694,0.8825567915304625
